year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
2013;10;0.0;-0.293278377;460.598984997177;545.390558405129;0.12;745.009701151586;2.69
2013;11;0.0;0.0;460.83232099795;545.574837449687;0.12;748.635543235793;2.67
2013;12;0.0;0.761282694;461.033184169361;545.838905399023;0.13;749.985485213241;2.48
2014;1;0.0;-0.389685554;460.676790894873;546.081029570781;0.12;750.788764337389;2.33
2014;2;0.0;0.0;461.429641498635;546.191046891551;0.12;750.496408246316;2.39
2014;3;0.0;-0.205853612;462.393502006116;546.395044205576;0.13;753.022245135434;2.34
2014;4;0.0;0.016492125;462.490222255751;546.581289222332;0.11;753.061947049695;2.2
2014;5;0.0;0.0;462.872654352903;546.771408970506;0.1;754.421040752679;2.2
2014;6;0.0;0.35272687;463.215285731798;546.903434998386;0.1;757.409122926534;2.2
2014;7;0.0;0.402711182;463.437164283598;547.015920238661;0.11;758.736118897542;2.19
2014;8;0.0;0.0;463.24818050095;546.999918823765;0.11;758.148005995019;2.27
2014;9;0.005;0.255851701;463.535112475965;547.007077667993;0.11;759.751171746797;2.27
2014;10;0.005;-0.3096812;463.547046084368;546.987284318915;0.1;756.903504450353;2.38
2014;11;0.0;0.0;464.162361219387;546.798840860461;0.13;762.294277741863;2.46
2014;12;-0.01;0.758501158;464.154454442214;546.489903194648;0.21;762.767583267725;2.53
2015;1;0.0;-0.242755459;463.366531593466;545.8508338454;0.2;761.489411816882;2.57
2015;2;0.0;0.0;462.725941270835;546.10397753425;0.22;764.118030604065;2.53
2015;3;-0.025;1.443400938;462.390754019997;546.373010493908;0.25;764.01183649915;2.5
2015;4;-0.005;0.084055562;461.843679408848;546.477204083146;0.23;764.724200434764;2.55
2015;5;0.0;0.0;461.401396424363;546.806436053551;0.24;765.53622353317;2.69
2015;6;-0.02;0.343820085;461.086394573001;547.082845770723;0.28;764.935447130634;2.76
2015;7;-0.005;0.128413052;461.732402792062;547.241352061122;0.3;764.689824688424;2.88
2015;8;0.0;0.0;461.548381717633;547.240931952188;0.38;762.064135931751;3.02
2015;9;-0.05;0.143696473;461.268884986278;547.015920238661;0.37;757.271386813277;3.17
2015;10;0.02;-0.708417139;460.784161454325;547.114819518865;0.26;761.32311479781;3.27
2015;11;0.0;0.0;460.045709681156;547.2342099692;0.48;764.042120520234;3.19
2015;12;0.01;0.160771704;459.554097357088;547.126596744249;0.65;762.758333812341;3.21
2016;1;-0.015;-0.36532313;460.076750841079;547.080741876204;0.54;755.935103238385;3.36
2016;2;0.0;0.0;459.556924409149;546.94768586358;0.53;755.19327792606;3.56
2016;3;-0.05;0.281088765;458.812168260848;547.260675164473;0.66;761.181767128259;3.24
2016;4;0.01;0.235475426;459.149814816718;547.643007856794;0.56;763.797663977185;2.98
2016;5;0.0;0.0;458.922777844733;547.879138435909;0.59;763.315181375758;2.87
2016;6;-0.025;-0.044661723;459.39403669389;548.156349579313;0.55;764.199161837078;2.88
2016;7;0.005;0.213018134;459.511176929386;548.105966814981;0.51;767.271136228852;2.71
2016;8;0.0;0.0;459.360354961663;548.290718223;0.57;768.292013875172;2.68
2016;9;-0.02;0.294893031;459.254785852935;548.552695741477;0.59;767.679348397002;2.68
2016;10;0.0;0.0;459.270380252755;548.786690509852;0.66;766.997132814118;2.61
2016;11;0.0;0.041908354;458.852339380184;548.904515840217;0.74;768.017102148828;2.57
2016;12;0.01;-0.247005988;459.53359883912;549.156649930785;0.87;771.718659463029;2.34
2017;1;0.0;0.0;459.270380252755;549.560142473151;0.83;772.978807724671;2.23
2017;2;-0.02;0.150621589;458.86809832329;549.71928151548;0.82;775.358491920428;2.22
2017;3;-0.02;0.279630753;459.525822439881;549.672550435593;1.01;776.930256099499;2.2
2017;4;0.0;0.0;460.539416090384;549.795889623709;1.04;776.612448238902;2.27
2017;5;0.005;0.040489567;460.657719568555;549.718461860145;1.12;778.128463695499;2.25
2017;6;0.015;-0.034032154;460.863517597076;549.783603504551;1.2;779.72871650756;2.18
2017;7;-0.01;0.018560511;460.623761608183;549.816363135151;1.22;780.551537423686;2.07
2017;8;0.0;0.0;460.209044846117;550.20048705003;1.23;780.637886180253;2.1
2017;9;0.02;-0.149837394;460.312209007077;550.709826702641;1.28;782.117790176078;2.1
2017;10;0.0;0.0;461.536504139814;550.787301907353;1.4;784.658997529119;1.96
2017;11;-0.005;0.088070518;461.775466817871;551.053747368785;1.56;786.080600661864;1.92
2017;12;0.0;0.069941347;461.970799804231;551.264214655403;1.7;788.77116511442;1.82
2018;1;0.0;-0.091720259;461.968927208729;551.688647101586;1.8;793.372518765814;1.67
2018;2;0.0;0.0;462.211087871635;551.957514090203;1.96;790.291633925404;1.65
2018;3;-0.005;0.35661153;462.699723335073;551.976748481354;2.06;790.2032452016;1.8
2018;4;0.0;0.0;463.79558152539;552.236850587961;2.15;788.368379296538;1.8
2018;5;-0.005;0.159868486;462.891014983075;552.462391032338;2.27;790.155875163004;1.85
2018;6;0.0;-0.13883159;463.664947301471;552.552464970793;2.33;792.093675908581;1.92
2018;7;0.0;0.0;463.826254368795;552.630516552512;2.39;793.510068398493;1.9
2018;8;0.0;0.017430961;464.470527279772;552.809089093835;2.45;795.781437540075;1.88
2018;9;0.01;0.221360047;464.535581807271;553.015104905668;2.56;797.298312363066;1.88
2018;10;0.0;0.0;464.425242801623;553.248789664475;2.65;793.216830927878;1.91
2018;11;0.0;0.098564663;464.504549254067;553.178345666516;2.7;790.957395476961;2.11
2018;12;0.025;-0.901182912;464.529049438421;553.24681157772;2.66;785.061393711701;2.3
2019;1;-0.005;0.771346444;463.862527134585;553.165280369708;2.58;786.610499998316;2.41
2019;2;0.0;0.0;463.314618285578;553.464956406425;2.55;792.112190359889;2.27
2019;3;-0.005;0.520395458;463.352146334833;553.842422398068;2.49;793.879511546143;2.26
2019;4;0.0;0.0;462.765548620716;554.21768534556;2.42;797.377550304959;2.17
2019;5;-0.035;0.201235921;462.880858455349;554.242365628294;2.34;795.672554074876;2.23
2019;6;-0.035;0.28143844;462.925285650405;554.209849061209;2;796.907060290585;2.39
2019;7;0.05;-0.158893913;462.439225263468;554.440370772246;1.96;800.507005958394;2.22
2019;8;0.0;0.0;463.121797746958;554.531805959279;1.77;797.160357521391;2.25
2019;9;0.01;-0.370050141;462.78285357462;554.685572288219;1.8;800.040314915021;2.22
2019;10;0.02;0.35270619400000003;461.935017308192;554.967901593623;1.61;799.889975280273;2.22
2019;11;0.0;0.0;462.435693739713;555.249048266229;1.57;804.073678772979;2.13
2019;12;0.0;0.168445231;462.203025290267;555.539846888994;1.55;806.361394058464;2.02
